Vector,Aggregation
V54062652,avg
V54062653,avg
V54062654,avg
V54062655,avg
V54062656,avg
V54062657,avg
V54062658,avg
V54062659,avg
V54062660,avg
V54062661,avg
V54062662,avg
V54062663,avg
V54062664,avg
V54062665,avg
V54062666,avg
V54062667,avg
V54062668,avg
V54062669,avg
V54062670,avg
V54062671,avg
V54062672,avg
V54062673,avg
V54062674,avg
V54062675,avg
V54062676,avg
V54062677,avg
V54062678,avg
V54062679,avg
V54062680,avg
V54062681,avg
V54062682,avg
V54062683,avg
V54062684,avg
V54062685,avg
V54062686,avg
V54062687,avg
V54062688,avg
V54062689,avg
V54062690,avg
V54062691,avg
V54062692,avg
V54062693,avg
V54062694,avg
V54062695,avg
V54062696,avg
V54062697,avg
V54062698,avg
V54062699,avg
V54062700,avg
V54062701,avg
V54062702,avg
V54062703,avg
V54062704,avg
V54062705,avg
V54062706,avg
V54062707,avg
V54062708,avg
V54062709,avg
V54062710,avg
V54062711,avg
V54062712,avg
V54062713,avg
V54062714,avg
V54062715,avg
V54062716,avg
V54062717,avg
V54062718,avg
V54062719,avg
V54062720,avg
V54062721,avg
V54062722,avg
V54062723,avg
V54062724,avg
V54062725,avg
V54062726,avg
V54062727,avg
V54062728,avg
V54062729,avg
V54062730,avg
V54062731,avg
V54062732,avg
V54062733,avg
V54062734,avg
V54062735,avg
V54062736,avg
V54062737,avg
V54062738,avg
V54062739,avg
V54062740,avg
V54062741,avg
V54062742,avg
V54062743,avg
V54062744,avg
V54062745,avg
V54062746,avg
V54062747,avg
V54062748,avg
V54062749,avg
V54062750,avg
V54062751,avg
V54062752,avg
V54062753,avg
V54062754,avg
V54062755,avg
V54062756,avg
V54062757,avg
V54062758,avg
V54062759,avg
V54062760,avg
V54062761,avg
V54062762,avg
V54062763,avg
V54062764,avg
V54062765,avg
V54062766,avg
V54062767,avg
V54062768,avg
V54062769,avg
V54062770,avg
V54062771,avg
V54062772,avg
V54062773,avg
V54062774,avg
V54062775,avg
V54062776,avg
V54062777,avg
V54062778,avg
V54062779,avg
V54062780,avg
V54062781,avg
V54062782,avg
V54062783,avg
V54062784,avg
V54062785,avg
V54062786,avg
V54062787,avg
V54062788,avg
V54062789,avg
V54062790,avg
V54062791,avg
V54062792,avg
V54062793,avg
V54062794,avg
V54062795,avg
V54062796,avg
V54062797,avg
V54062798,avg
V54062799,avg
V54062800,avg
V54062801,avg
V54062802,avg
V54062803,avg
V54062804,avg
V54062805,avg
V54062806,avg
V54062807,avg
V54062808,avg
V54062809,avg
V54062810,avg
V54062811,avg
V54062812,avg
V54062813,avg
V54062814,avg
V54062815,avg
V54062816,avg
V54062817,avg
V54062818,avg
V54062819,avg
V54062820,avg
V54062821,avg
V54062822,avg
V54062823,avg
V54062824,avg
V54062825,avg
V54062826,avg
V54062827,avg
V54062828,avg
V54062829,avg
V54062830,avg
V54062831,avg
V54062832,avg
V54062833,avg
V54062834,avg
V54062835,avg
V54062836,avg
V54062837,avg
V54062838,avg
V54062839,avg
V54062840,avg
V54062841,avg
V54062842,avg
V54062843,avg
V54062844,avg
V54062845,avg
V54062846,avg
V54062847,avg
V54062848,avg
V54062849,avg
V54062850,avg
V54062851,avg
V54062852,avg
V54062853,avg
V54062854,avg
V54062855,avg
V54062856,avg
V54062857,avg
V54062858,avg
V54062859,avg
V54062860,avg
V54062861,avg
V54062862,avg
V54062863,avg
V54062864,avg
V54062865,avg
V54062866,avg
V54062867,avg
V54062868,avg
V54062869,avg
V54062870,avg
V54062871,avg
V54062872,avg
V54062873,avg
V54062874,avg
V54062875,avg
V54063293,avg
V54063294,avg
V54063295,avg
V54063296,avg
V54063297,avg
V54063298,avg
V54063299,avg
V54063300,avg
V54063301,avg
V54063302,avg
V54063303,avg
V54063304,avg
V54063305,avg
V54063306,avg
V54063307,avg
V54063308,avg
V54063309,avg
V54063310,avg
V54063311,avg
V54063312,avg
V54063313,avg
V54063314,avg
V54063315,avg
V54063316,avg
V54063317,avg
V54063318,avg
V54063319,avg
V54063320,avg
V54063321,avg
V54063322,avg
V54063323,avg
V54063324,avg
V54063325,avg
V54063326,avg
V54063327,avg
V54063328,avg
V54063329,avg
V54063330,avg
V54063331,avg
V54063332,avg
V54063333,avg
V54063334,avg
V54063335,avg
V54063336,avg
V54063337,avg
V54063338,avg
V54063339,avg
V54063340,avg
V54063341,avg
V54063342,avg
V54063343,avg
V54063344,avg
V54063345,avg
V54063346,avg
V54063347,avg
V54063348,avg
V54063349,avg
V54063350,avg
V54063351,avg
V54063352,avg
V54063353,avg
V54063354,avg
V54063355,avg
V54063356,avg
V54063357,avg
V54063358,avg
V54063359,avg
V54063360,avg
V54063361,avg
V54063362,avg
V54063363,avg
V54063364,avg
V54063365,avg
V54063366,avg
V54063367,avg
V54063368,avg
V54063369,avg
V54063370,avg
V54063371,avg
V54063372,avg
V54063373,avg
V54063374,avg
V54063375,avg
V54063376,avg
V54063377,avg
V54063378,avg
V54063379,avg
V54063380,avg
V54063381,avg
V54063382,avg
V54063383,avg
V54063384,avg
V54063385,avg
V54063386,avg
V54063387,avg
V54063388,avg
V54063389,avg
V54063390,avg
V54063391,avg
V54063392,avg
V54063393,avg
V54063394,avg
V54063395,avg
V54063396,avg
V54063397,avg
V54063398,avg
V54063399,avg
V54063400,avg
V54063401,avg
V54063402,avg
V54063403,avg
V54063404,avg
V54063405,avg
V54063406,avg
V54063407,avg
V54063408,avg
V54063409,avg
V54063410,avg
V54063411,avg
V54063412,avg
V54063413,avg
V54063414,avg
V54063415,avg
V54063416,avg
V54063417,avg
V54063418,avg
